number,ref_ps1,cand_ps1,ref_errors,ref_warnings,ref_infos,cand_errors,cand_warnings,cand_infos,diff_errors,diff_warnings,diff_infos,ref_rules,cand_rules,common_rules,unique_ref_rules,unique_cand_rules
100,".\all_scripts\example_100.ps1",".\all_scripts\example_100_generated.ps1",0,1,3,0,1,1,0,0,-2,"PSAvoidTrailingWhitespace;PSAvoidUsingWMICmdlet","PSAvoidTrailingWhitespace;PSAvoidUsingWMICmdlet","PSAvoidTrailingWhitespace;PSAvoidUsingWMICmdlet","",""
1043,".\all_scripts\example_1043.ps1",".\all_scripts\example_1043_generated.ps1",0,0,0,0,2,0,0,2,0,"","PSAvoidUsingCmdletAliases;PSAvoidUsingInvokeExpression","","","PSAvoidUsingCmdletAliases;PSAvoidUsingInvokeExpression"
1062,".\all_scripts\example_1062.ps1",".\all_scripts\example_1062_generated.ps1",0,1,0,0,1,0,0,0,0,"PSAvoidUsingCmdletAliases","PSUseSingularNouns","","PSAvoidUsingCmdletAliases","PSUseSingularNouns"
112,".\all_scripts\example_112.ps1",".\all_scripts\example_112_generated.ps1",0,1,0,0,4,0,0,3,0,"PSAvoidUsingInvokeExpression","PSAvoidUsingInvokeExpression;PSUseApprovedVerbs","PSAvoidUsingInvokeExpression","","PSUseApprovedVerbs"
123,".\all_scripts\example_123.ps1",".\all_scripts\example_123_generated.ps1",0,0,0,1,1,0,1,1,0,"","PSAvoidUsingConvertToSecureStringWithPlainText;PSAvoidUsingPlainTextForPassword","","","PSAvoidUsingConvertToSecureStringWithPlainText;PSAvoidUsingPlainTextForPassword"
126,".\all_scripts\example_126.ps1",".\all_scripts\example_126_generated.ps1",0,0,0,0,0,0,0,0,0,"","","","",""
130,".\all_scripts\example_130.ps1",".\all_scripts\example_130_generated.ps1",0,0,0,0,0,1,0,0,1,"","PSAvoidTrailingWhitespace","","","PSAvoidTrailingWhitespace"
1392,".\all_scripts\example_1392.ps1",".\all_scripts\example_1392_generated.ps1",0,4,1,0,3,0,0,-1,-1,"MissingEndParenthesisInExpression;MissingExpressionAfterToken;PSAvoidUsingCmdletAliases;PSAvoidUsingInvokeExpression;PSAvoidUsingPositionalParameters;UnexpectedToken","PSAvoidUsingCmdletAliases;PSAvoidUsingInvokeExpression;PSUseShouldProcessForStateChangingFunctions","PSAvoidUsingCmdletAliases;PSAvoidUsingInvokeExpression","MissingEndParenthesisInExpression;MissingExpressionAfterToken;PSAvoidUsingPositionalParameters;UnexpectedToken","PSUseShouldProcessForStateChangingFunctions"
1408,".\all_scripts\example_1408.ps1",".\all_scripts\example_1408_generated.ps1",0,1,0,0,0,0,0,-1,0,"PSAvoidUsingCmdletAliases","","","PSAvoidUsingCmdletAliases",""
1460,".\all_scripts\example_1460.ps1",".\all_scripts\example_1460_generated.ps1",0,0,0,0,0,0,0,0,0,"","","","",""
16,".\all_scripts\example_16.ps1",".\all_scripts\example_16_generated.ps1",0,4,0,0,4,0,0,0,0,"PSAvoidUsingWMICmdlet;PSAvoidUsingWriteHost","PSAvoidOverwritingBuiltInCmdlets;PSAvoidUsingWMICmdlet","PSAvoidUsingWMICmdlet","PSAvoidUsingWriteHost","PSAvoidOverwritingBuiltInCmdlets"
161,".\all_scripts\example_161.ps1",".\all_scripts\example_161_generated.ps1",0,0,0,0,2,0,0,2,0,"","PSAvoidUsingInvokeExpression","","","PSAvoidUsingInvokeExpression"
1635,".\all_scripts\example_1635.ps1",".\all_scripts\example_1635_generated.ps1",0,0,0,0,0,0,0,0,0,"","","","",""
1692,".\all_scripts\example_1692.ps1",".\all_scripts\example_1692_generated.ps1",0,1,0,0,3,0,0,2,0,"PSAvoidUsingWriteHost","MissingExpressionAfterToken;PSAvoidUsingWriteHost;PSReviewUnusedParameter;PSUseApprovedVerbs","PSAvoidUsingWriteHost","","MissingExpressionAfterToken;PSReviewUnusedParameter;PSUseApprovedVerbs"
176,".\all_scripts\example_176.ps1",".\all_scripts\example_176_generated.ps1",0,1,0,0,2,0,0,1,0,"PSAvoidUsingWMICmdlet","PSAvoidUsingWMICmdlet;PSUseSingularNouns","PSAvoidUsingWMICmdlet","","PSUseSingularNouns"
